CountryOfResidence,2018,2019
Australia,20949,18997
Austria,18572,18390
Belgium,15727,16959
CzechRepublic,14254,14729
France,285371,302038
Germany,132780,129100
India,85765,75673
Italy,38361,41991
Malagasy Republic,14365,15979
Netherlands,16419,16814
China,65736,42740
Reunion Island,138439,137570
Russian Federation,11007,11191
Seychelles,5370,6838
South Africa,128097,118556
Spain,15063,14307
Sweden,15539,13215
Switzerland,41080,42045
United Arab Emirates,12058,13999
United Kingdom,151913,141520
USA,10525,10407
Other countries,162018,180430
All Countries,1399408,1383488
